# t_s	rss_mb	live_mb	reset_pages	misses
1579.999900108	306.0736	505.450544	3	0
1589.999900136	306.0736	508.383936	3	0
1599.999900102	306.0736	511.317152	3	0
1609.999900118	306.0736	514.250544	3	0
1619.999900145	306.0736	517.183936	3	0
1629.999900102	306.0736	520.117152	3	0
1639.999900108	306.0736	523.050544	3	0
1649.999900145	306.0736	525.983936	3	0
1659.999900101	306.0736	528.917152	3	0
1669.999900105	306.0736	531.850544	3	0
1679.999900146	306.0736	534.783936	3	0
1689.999900102	306.0736	537.717152	3	0
1699.999900109	306.0736	540.650544	3	0
1709.99990015	306.0736	543.583936	3	0
1719.999900117	306.0736	546.517152	3	0
1729.999900103	306.0736	549.450544	3	0
1739.999900138	306.0736	552.383936	3	0
1749.999900098	306.0736	555.317152	3	0
1759.999900097	306.0736	558.250544	3	0
1769.999900144	306.0736	561.183936	3	0
1779.999900091	306.0736	564.117152	3	0
1789.999900107	306.0736	567.050544	3	0
1799.999900134	306.0736	569.983936	3	0
